id_turma;num_reprovados;num_aprovados;media_aprovados;codigo_turma;id_docente_interno;id_docente_externo;id_componente_curricular;ano;periodo
57601012;0;14;5.0;01;5752770.0;;39707;2017;1
57601013;2;3;5.0;01;22812.0;;39715;2017;1
57601014;0;5;5.0;01;21609.0;;39730;2017;1
57601015;0;0;;01;20873.0;;39744;2017;1
57601016;0;12;3.5;01;26647.0;;39722;2017;1
57601017;0;24;5.0;01;26647.0;;55995;2017;1
57601018;0;18;5.0;01;5752217.0;;54437;2017;1
57601019;1;4;5.0;01;5757425.0;;61554;2017;1
57601020;0;18;5.0;01;5754632.0;;54445;2017;1
57601021;0;36;5.0;01;5753093.0;;54442;2017;1
57601023;2;2;7.0;05;23014.0;;18831;2017;1
57601024;2;2;10.0;02;23014.0;;18798;2017;1
57601025;0;54;5.0;01;5755035.0;;56004;2017;1
57601028;0;2;4.0;01;21737.0;;38209;2017;1
57601029;0;5;4.0;01;5755867.0;;38210;2017;1
57601030;0;4;8.5;34;3588457.0;;18715;2017;1
57601032;0;4;9.5;06;3588457.0;;18831;2017;1
57601033;2;0;;07;5752924.0;;18831;2017;1
57601034;0;6;5.0;01;21737.0;;38200;2017;1
57601035;0;24;4.0;01;25470.0;;2037654;2017;1
57601036;0;6;5.0;01;5754321.0;;58828;2017;1
57601037;3;14;5.0;01;5758407.0;;58827;2017;1
57601038;6;12;5.0;01;35048.0;;58819;2017;1
57601039;1;14;5.0;01;23828.0;;36992;2017;1
57601040;2;18;5.0;01;5753584.0;;36990;2017;1
57601041;1;15;4.0;01;5753582.0;;36979;2017;1
57601042;1;15;5.0;01;26013.0;;41265;2017;1
57601043;0;14;5.0;01;26013.0;;41267;2017;1
57601044;0;68;4.0;01;;122046496.0;37253;2017;1
57601045;0;135;5.0;01;22728.0;;63269;2017;1
57601046;0;1;4.0;03;25430.0;;38208;2017;1
57601047;1;10;5.0;01;5756324.0;;2037660;2017;1
57601048;1;12;5.0;01;5753014.0;;59553;2017;1
57601049;8;36;5.0;01;5753039.0;;59560;2017;1
57601051;0;10;4.0;01;5753011.0;;59561;2017;1
57601052;3;14;5.0;01;5752720.0;;59570;2017;1
57601053;3;13;5.0;01;5753039.0;;59563;2017;1
57601054;6;0;;01;;121924893.0;63421;2017;1
57601055;0;0;;01;5752467.0;;59571;2017;1
57601056;0;15;5.0;01;5752217.0;;54427;2017;1
57601057;0;0;;01;20786.0;;54428;2017;1
57601060;2;23;5.0;01;5752265.0;;2043554;2017;1
57601061;5;55;5.0;01;;109321033.0;2043555;2017;1
57601062;0;10;5.0;01;5756268.0;;57740;2017;1
57601063;2;14;5.0;01;5756275.0;;56825;2017;1
57601064;1;16;5.0;01;5757130.0;;56836;2017;1
57601065;2;7;5.0;01;5756793.0;;56809;2017;1
57601066;1;16;4.0;01;5753060.0;;56819;2017;1
57601067;0;22;4.0;01;5753860.0;;56815;2017;1
57601068;2;7;4.0;01;;105066678.0;56810;2017;1
57601069;0;22;5.0;01;5756275.0;;59287;2017;1
57601070;0;22;5.0;01;;110611549.0;56837;2017;1
57601075;0;24;9.4;03;5757916.0;;21270;2017;1
57601076;0;54;7.2;01;5751875.0;;2048488;2017;1
57601077;9;18;9.15;04;5757053.0;;21270;2017;1
57601080;0;1;5.0;01;35188.0;;40500;2017;1
57601081;0;6;5.0;01;5753698.0;;63811;2017;1
57601082;2;3;5.0;02;5753711.0;;2052204;2017;1
57601083;18;12;10.0;03;5752953.0;;2034050;2017;1
57601084;0;6;5.0;01;18185.0;;2052205;2017;1
57601085;0;1;5.0;03;5756803.0;;2052204;2017;1
57601086;0;18;10.0;03;5755812.0;;2034052;2017;1
57601087;0;33;9.7;03;5752155.0;;2034100;2017;1
57601088;0;2;5.0;04;5754609.0;;2052204;2017;1
57601089;0;1;5.0;02;5754609.0;;2052205;2017;1
57601090;0;132;7.1;04;18036.0;;54239;2017;1
57601091;0;1;5.0;05;5755871.0;;2052204;2017;1
57601092;0;2;5.0;06;23956.0;;2052204;2017;1
57601093;0;2;4.0;07;5752286.0;;2052204;2017;1
57601094;0;1;5.0;03;5752286.0;;2052205;2017;1
57601095;0;2;5.0;08;23658.0;;2052204;2017;1
57601096;3;135;7.2;02;5756366.0;;46178;2017;1
57601097;2;30;7.800000000000001;01;5756804.0;;43311;2017;1
57601098;9;18;8.75;02;5752284.0;;55912;2017;1
57601099;13;60;8.4;02;5756804.0;;43311;2017;1
57601100;0;4;5.0;09;5753848.0;;2052204;2017;1
57601101;0;2;4.0;10;25444.0;;2052204;2017;1
57601102;3;1;5.0;01;;115898933.0;61307;2017;1
57601103;0;18;6.6;02;5757826.0;;24034;2017;1
57601104;0;0;;01;5757812.0;;54755;2017;1
57601105;0;0;;01;5752301.0;;54771;2017;1
57601106;0;0;;01;23125.0;;54770;2017;1
57601107;0;0;;01;5752482.0;;54791;2017;1
57601108;0;3;5.0;17;23809.0;;37503;2017;1
57601110;18;48;7.2;03;5752238.0;;57613;2017;1
57601111;0;165;6.1;04;22755.0;;2049854;2017;1
57601112;0;150;6.3;02;26416.0;;21811;2017;1
57601114;21;126;6.800000000000001;02;22755.0;;54075;2017;1
57601115;18;108;6.1;03;22755.0;;54075;2017;1
57601116;0;144;5.8;04;22755.0;;54075;2017;1
57601117;24;120;5.95;01B;22755.0;;54066;2017;1
57601118;12;132;6.0;01C;22755.0;;54066;2017;1
57601119;0;144;5.4;01D;22755.0;;54066;2017;1
57601120;9;15;7.1;02;5758636.0;;39998;2017;1
57601121;24;36;8.0;05;22755.0;;2049854;2017;1
57601122;0;150;8.1;06;22755.0;;2049854;2017;1
57601123;0;75;6.2;07;22755.0;;2049854;2017;1
57601124;0;180;7.3;08;22755.0;;2049854;2017;1
57601126;6;54;8.1;02;5759183.0;;2040381;2017;1
57601127;5;114;8.1;01;5758701.0;;2050350;2017;1
57601130;36;45;5.9;02;24337.0;;24282;2017;1
57601131;0;240;9.2;01;5752384.0;;64216;2017;1
57601132;0;60;9.2;01;5752384.0;;64217;2017;1
57601133;0;60;10.0;02;5752384.0;;64217;2017;1
57601134;0;45;9.2;03;5753807.0;;64217;2017;1
57601135;0;0;;01;23835.0;;38341;2017;1
57601136;0;60;10.0;04;5752384.0;;64217;2017;1
57601137;6;42;6.75;02;5755486.0;;49371;2017;1
57601139;0;0;;01;5758416.0;;55580;2017;1
57601140;3;39;8.2;01;5758475.0;;20314;2017;1
57601142;0;4;8.75;11;5759163.0;;60826;2017;1
57601143;0;4;8.6;12;5759163.0;;60826;2017;1
57601144;0;4;9.05;13;5759163.0;;60826;2017;1
57601145;0;4;8.75;14;5759163.0;;60826;2017;1
57601146;0;4;8.3;15;5759163.0;;60826;2017;1
57601147;0;4;8.9;16;5759163.0;;60826;2017;1
57601148;0;39;6.7;01;23158.0;;26139;2017;1
57601149;0;1;3.0;04;22939.0;;2052205;2017;1
57601150;3;15;10.0;05;24386.0;;20045;2017;1
57601151;0;57;9.8;01;22142.0;;48201;2017;1
57601152;2;10;4.0;01;20831.0;;53324;2017;1
57601153;2;20;5.0;01;16991.0;;53325;2017;1
57601154;4;26;4.0;01;5752589.0;;53326;2017;1
57601155;2;19;4.0;01;5752012.0;;53327;2017;1
57601156;0;0;;01;20238.0;;55436;2017;1
57601157;0;0;;01;20238.0;;55315;2017;1
57601158;4;11;4.0;01;22739.0;;59815;2017;1
57601159;0;4;4.5;01;5753060.0;;53330;2017;1
57601161;0;4;4.5;01;5753060.0;;53334;2017;1
57601162;0;0;;01;2264213.0;;61322;2017;1
57601163;0;0;;01;2264213.0;;54335;2017;1
57601164;0;1;5.0;01;23198.0;;40293;2017;1
57601165;1;12;5.0;01;23198.0;;64225;2017;1
57601166;0;4;8.4;17;5759163.0;;60826;2017;1
57601167;1;4;5.0;01;5753595.0;;64224;2017;1
57601168;0;4;9.100000000000001;18;5759163.0;;60826;2017;1
57601169;0;4;8.649999999999999;19;5759163.0;;60826;2017;1
57601170;0;4;8.350000000000001;20;5759163.0;;60826;2017;1
57601171;0;0;;01;21599.0;;61321;2017;1
57601173;6;0;;01;17227.0;;25028;2017;1
57601174;6;18;8.35;05;5759302.0;;21270;2017;1
57601175;0;12;8.8;06;5752677.0;;21270;2017;1
57601176;0;6;10.0;01;17413.0;;47050;2017;1
57601178;0;9;8.8;02A;5752200.0;;23859;2017;1
57601179;0;3;5.2;01;5757182.0;;22969;2017;1
57601180;0;81;8.6;02;21707.0;;27960;2017;1
57601186;0;66;4.0;01;;123907398.0;44528;2017;1
57601187;5;2;4.0;01;5752953.0;;59763;2017;1
57601188;1;3;5.0;01;5753703.0;;44515;2017;1
57601189;3;5;5.0;01;5755812.0;;59764;2017;1
57601190;3;3;4.0;01;5752681.0;;59761;2017;1
57601191;2;7;5.0;01;5753094.0;;44525;2017;1
57601192;141;183;5.7;06;5753014.0;;57606;2017;1
57601193;32;27;7.7;01C;5757997.0;;46636;2017;1
57601194;18;54;7.0;01C;25444.0;;46683;2017;1
57601195;0;15;8.7;02;23400.0;;23931;2017;1
57601196;0;3;9.0;02;23400.0;;2021307;2017;1
57601197;0;3;9.0;13;19101.0;;2021200;2017;1
57601198;3;3;9.0;01;3588457.0;;2021153;2017;1
57601199;4;12;10.0;03;3588457.0;;25759;2017;1
57601200;0;15;9.0;04;24200.0;;25759;2017;1
57601201;3;0;;01;35466.0;;27994;2017;1
57601202;0;12;9.85;01;23594.0;;23973;2017;1
57601203;0;3;9.0;16;20909.0;;2021152;2017;1
57601204;0;10;9.0;09;5758423.0;;48238;2017;1
57601205;14;58;6.8;03;22932.0;;63729;2017;1
57601206;4;48;7.9;03;5753751.0;;18722;2017;1
57601207;0;81;5.0;03;5753617.0;;64238;2017;1
57601208;0;30;9.45;08;18604.0;;63599;2017;1
57601209;0;42;8.3;02;5758679.0;;20316;2017;1
57601210;0;24;9.45;09;26231.0;;63599;2017;1
57601211;0;51;9.0;01;5756819.0;;43313;2017;1
57601212;0;18;9.7;10;24490.0;;63599;2017;1
57601213;3;60;9.0;02;5756819.0;;43313;2017;1
57601214;0;18;9.4;11;5756815.0;;63599;2017;1
57601215;0;15;9.5;12;5754346.0;;63599;2017;1
57601216;0;18;9.4;13;18604.0;;63599;2017;1
57601220;0;165;7.5;02;25942.0;;56265;2017;1
57601221;0;6;8.65;10;25448.0;;48239;2017;1
57601222;0;5;8.7;11;5758794.0;;48239;2017;1
57601223;0;6;8.65;10;25448.0;;48238;2017;1
57601225;0;3;10.0;01;3031587.0;;43685;2017;1
57601226;6;23;5.0;01;;124096682.0;62975;2017;1
57601227;0;66;9.3;01;19116.0;;60245;2017;1
57601229;46;60;5.6;03;26034.0;;24325;2017;1
57601230;19;60;7.3;04;5759162.0;;24325;2017;1
57601232;146;12;5.9;09;5755052.0;;2051005;2017;1
57601234;3;22;7.7;11A;5758562.0;;57595;2017;1
57601236;0;36;6.15;12A;5752751.0;;57595;2017;1
57601237;0;18;9.2;01;5757747.0;;63665;2017;1
57601238;0;5;5.0;01;5758421.0;;64229;2017;1
57601239;1;26;5.0;02;5756335.0;;64229;2017;1
57601240;0;1;5.0;02;23713.0;;40500;2017;1
57601241;1;18;5.0;03;5752222.0;;59566;2017;1
57601244;0;13;5.0;01;20538.0;;55794;2017;1
57601245;2;30;5.0;01;25448.0;;64218;2017;1
57601246;1;24;5.0;01;;111522639.0;2043566;2017;1
57601247;0;0;;01;24795.0;;63713;2017;1
57601248;6;21;4.0;01;5752200.0;;64219;2017;1
57601249;0;25;4.0;01;5753864.0;;2043550;2017;1
57601250;1;18;4.0;01;5752693.0;;2043551;2017;1
57601251;3;0;;01;;120262532.0;63395;2017;1
57601292;0;0;;01;24923.0;;2043552;2017;1
57601293;4;17;4.0;01;;118175479.0;62418;2017;1
57601295;0;2;5.0;01;5752717.0;;62878;2017;1
57601296;0;2;5.0;05;24841.0;;2052205;2017;1
57601297;0;4;5.0;01;21790.0;;38924;2017;1
57601298;0;6;5.0;01;25444.0;;38928;2017;1
57601299;0;8;5.0;01;5756749.0;;62872;2017;1
57601300;0;15;4.0;01;5752711.0;;62870;2017;1
57601301;0;4;4.5;01;5752711.0;;62874;2017;1
57601302;14;35;5.0;01;5752017.0;;62267;2017;1
57601329;0;23;5.0;01;;114787474.0;60178;2017;1
57601330;2;45;5.0;01;5757853.0;;62008;2017;1
57601331;0;30;5.0;02;;111522639.0;2043555;2017;1
57601333;4;48;4.0;02;17864.0;;37140;2017;1
57601336;0;15;5.0;01;5757391.0;;62873;2017;1
57601337;1;7;4.0;02;24033.0;;37129;2017;1
57601338;0;4;5.0;02;5753343.0;;54324;2017;1
57601339;0;1;5.0;18;25868.0;;37503;2017;1
57601340;2;23;5.0;02;5753343.0;;37115;2017;1
57601341;0;9;5.0;02;;109515953.0;37169;2017;1
57601342;0;3;5.0;01;3527585.0;;49095;2017;1
57601344;2;10;4.0;01;5752292.0;;55470;2017;1
57601345;0;3;5.0;02;26013.0;;49095;2017;1
57601346;0;0;;01;5752249.0;;2043556;2017;1
57601347;0;1;5.0;02;5754261.0;;2043556;2017;1
57601348;0;0;;01;5753010.0;;63806;2017;1
57601349;0;8;5.0;01;25438.0;;55474;2017;1
57601350;0;5;4.0;01;37428.0;;63879;2017;1
57601351;0;4;5.0;01;5757061.0;;62871;2017;1
57601352;0;10;5.0;01;20788.0;;55473;2017;1
57601353;0;1;5.0;01;23713.0;;40501;2017;1
57601438;0;0;;01;20788.0;;54796;2017;1
57601439;0;0;;01;5758409.0;;55500;2017;1
57601440;0;2;5.0;01;5752248.0;;55503;2017;1
57601441;2;0;;01;15548.0;;55476;2017;1
57601442;0;18;5.0;01;5752017.0;;55467;2017;1
57601443;4;8;5.0;01;;102770343.0;54795;2017;1
57601445;4;26;5.0;01;22792.0;;55530;2017;1
57601446;0;7;5.0;01;5756371.0;;55529;2017;1
57601447;6;40;5.0;01;5753070.0;;54794;2017;1
57601448;1;9;5.0;01;5755772.0;;55459;2017;1
57601449;0;5;5.0;01;5753648.0;;55539;2017;1
57601450;2;14;5.0;01;5753070.0;;55540;2017;1
57601452;2;44;5.0;01;5753070.0;;51313;2017;1
57601453;2;44;5.0;01;5756371.0;;62280;2017;1
57601454;2;4;9.0;36;3031587.0;;18715;2017;1
57601455;0;0;;03;5753343.0;;2043556;2017;1
57601456;9;39;4.0;01;5753879.0;;2055459;2017;1
57601458;0;36;5.0;01;5752235.0;;61142;2017;1
57601459;0;1;5.0;01;5753595.0;;61320;2017;1
57601460;0;1;5.0;03;5753616.0;;40500;2017;1
57601461;0;8;5.0;01;;102770343.0;55533;2017;1
57601462;0;1;5.0;01;5756674.0;;38358;2017;1
57601463;0;1;5.0;02;5756325.0;;38358;2017;1
57601464;0;2;5.0;01;24851.0;;38278;2017;1
57601465;0;1;5.0;01;24851.0;;38282;2017;1
57601466;0;2;5.0;01;24851.0;;38280;2017;1
